M E_int S T a b c
6 0.6565141402540682 0 99. 0 0 0
7 0.5570423008216335 0.9999999999999998 119.99999999999999 0 0 0
7 0.6565141402540682 0 98.99999999999999 0 0.9999999999999997 0
8 0.48243842124730785 1.0000000000000002 143.00000000000003 0 0 0
8 0.6324195462018842 0 143.00000000000003 0 0 0
8 0.47171787149813965 0 142.99999999999994 0 0 0
8 0.557042300821634 1.0000000000000002 120.00000000000009 0 1.0000000000000004 0
8 0.6565141402540683 0 98.99999999999999 0 2. 0
9 0.5397624947321236 1.0000000000000002 168.00000000000006 0 0 0
9 0.4481777103565342 1. 167.99999999999997 0 0 0
9 0.39223156703637163 0.9999999999999993 167.9999999999998 0 0 0
9 0.5744498727223096 0 167.99999999999997 0 0 0
9 0.4327025015310905 0 168.00000000000006 0 0 0
9 0.4824384212473077 0.9999999999999998 142.99999999999997 0 0.9999999999999998 0
9 0.6324195462018837 0 142.99999999999991 0 0.9999999999999994 0
9 0.4717178714981396 0 142.99999999999991 0 0.9999999999999998 0
9 0.5570423008216336 0.9999999999999998 119.99999999999997 0 1.9999999999999996 0
9 0.6565141402540681 0 98.99999999999999 0 2.999999999999999 0
10 0.3083627022405471 2. 194.99999999999997 0 0 0
10 0.5039579965355188 1. 195.00000000000003 0 0 0
10 0.46369173137439545 0.9999999999999998 194.99999999999997 0 0 0
10 0.36029932851308766 1.0000000000000002 195.00000000000003 0 0 0
10 0.6116625820759922 0 195.00000000000003 0 0 0
10 0.4929237121308544 0 194.99999999999991 0 0 0
10 0.45577189002557655 0 195.00000000000009 0 0 0
10 0.34328414290579423 0 195.0000000000001 0 0 0
10 0.5397624947321235 1. 167.99999999999997 0 0.9999999999999998 0
10 0.44817771035653436 1. 168.00000000000003 0 0.9999999999999999 0
10 0.392231567036372 1.0000000000000002 168. 0 1. 0
10 0.57444987272231 0 168.00000000000006 0 0.9999999999999999 0
10 0.43270250153109063 0 168.00000000000009 0 1.0000000000000007 0
10 0.48243842124730774 1. 142.99999999999997 0 2. 0
10 0.6324195462018842 0 143. 0 2.0000000000000004 0
10 0.47171787149813976 0 143. 0 2. 0
10 0.5570423008216338 1. 120.00000000000001 0 3. 0
10 0.6565141402540684 0 98.99999999999997 0 3.9999999999999996 0
11 0.27852115041081715 2.0000000000000013 224.00000000000026 0 0 0
11 0.5237798882282573 1.0000000000000002 224.00000000000003 0 0 0
11 0.4905912125484756 1. 224.00000000000003 0 0 0
11 0.42335108092906015 1.0000000000000002 224.00000000000006 0 0 0
11 0.4066724508433294 0.9999999999999998 223.9999999999999 0 0 0
11 0.37795880204132126 1. 224. 0 0 0
11 0.30009538784397616 1. 223.99999999999997 0 0 0
11 0.25157209973759953 0.9999999999999998 223.9999999999998 0 0 0
11 0.5692002740799896 0 224. 0 0 0
11 0.48568101968651317 0 224. 0 0 0
11 0.4117453420705032 0 224.00000000000006 0 0 0
11 0.392253363556616 0 224.00000000000006 0 0 0
11 0.3083627022405475 2.0000000000000013 195.00000000000023 0 1.000000000000001 0
11 0.5039579965355188 1.0000000000000002 194.99999999999997 0 1. 0
11 0.46369173137439573 1.0000000000000004 195.0000000000001 0 1.0000000000000004 0
11 0.36029932851308794 1.0000000000000007 195.00000000000014 0 1.0000000000000009 0
11 0.6116625820759923 0 195.00000000000009 0 1.0000000000000002 0
11 0.4929237121308547 0 195.00000000000006 0 1.0000000000000004 0
11 0.45577189002557633 0 195. 0 0.9999999999999999 0
11 0.34328414290579423 0 195.00000000000009 0 1.0000000000000004 0
11 0.5397624947321236 1. 168. 0 2. 0
11 0.44817771035653464 1.0000000000000004 168.0000000000001 0 2.000000000000001 0
11 0.392231567036372 0.9999999999999998 167.99999999999997 0 2. 0
11 0.57444987272231 0 168.00000000000003 0 1.9999999999999998 0
11 0.43270250153109063 0 168.00000000000006 0 2.0000000000000004 0
11 0.4824384212473079 1.0000000000000002 143.00000000000006 0 3.000000000000001 0
11 0.6324195462018841 0 142.99999999999997 0 3. 0
11 0.4717178714981398 0 142.99999999999997 0 3. 0
11 0.557042300821634 1. 120.00000000000004 0 4. 0
11 0.6565141402540683 0 98.99999999999997 0 4.999999999999999 0
12 0.3030770369348072 2.0000000000000004 255.0000000000001 0 0 0
12 0.22412371205709627 2.000000000000001 255.00000000000014 0 0 0
12 0.49972931774358187 0.9999999999999998 254.99999999999994 0 0 0
12 0.46343307788840793 1. 255.0000000000001 0 0 0
12 0.44981947261186384 0.9999999999999998 254.99999999999986 0 0 0
12 0.3916874495760372 1. 255.00000000000003 0 0 0
12 0.36299336033257507 1.0000000000000002 255.00000000000006 0 0 0
12 0.339248708407598 0.9999999999999993 254.99999999999983 0 0 0
12 0.2953874551678236 0.9999999999999998 254.99999999999994 0 0 0
12 0.19895306364759865 1. 254.99999999999994 0 0 0
12 0.5937606283522849 0 255.00000000000003 0 0 0
12 0.527665294384611 0 255.00000000000014 0 0 0
12 0.4914100417501771 0 254.99999999999997 0 0 0
12 0.4669056079003668 0 255.00000000000009 0 0 0
12 0.4406944919718604 0 254.9999999999999 0 0 0
12 0.3942137577574196 0 254.99999999999986 0 0 0
12 0.33879872732919203 0 254.99999999999997 0 0 0
12 0.32018666064894025 0 255.00000000000023 0 0 0
12 0.19013051442989234 0 254.99999999999991 0 0 0
12 0.2785211504108167 1.9999999999999996 223.9999999999999 0 0.9999999999999998 0
12 0.5237798882282572 1. 224. 0 0.9999999999999997 0
12 0.49059121254847565 0.9999999999999998 224. 0 0.9999999999999999 0
12 0.42335108092905993 0.9999999999999998 223.99999999999994 0 1. 0
