M E_tot E_int S T a b c LL_index
0 10.795774715439908 0.7957747154399083 0 63. 0 0 0 1
-3 11.656514140239201 0.6565141402392012 0.9999999999999998 79.99999999999999 0 0 0 2
-3 11.77588034755792 0.7758803475579188 0 79.99999999999999 0 0 0 2
-1 11.696302876011993 0.6963028760119928 1. 80.00000000000001 0 0 0 2
-1 11.636619772352818 0.6366197723528183 1.0000000000000002 80.00000000000001 0 0 0 2
-1 11.736091611784913 0.7360916117849121 0 80. 0 0 0 2
-1 11.795774715444194 0.7957747154441944 0 62.99999999999999 0 0 1.0000000000000002 2
1 11.696302876011993 0.696302876011993 1.0000000000000002 80.00000000000003 0 0 0 1
1 11.636619772352818 0.6366197723528183 1.0000000000000002 80.00000000000003 0 0 0 1
1 11.736091611784913 0.7360916117849127 0 80.00000000000004 0 0 0 1
1 11.795774715444194 0.7957747154441946 0 63.00000000000002 0 1.0000000000000007 0 1
3 11.656514140239201 0.6565141402392012 0.9999999999999998 79.99999999999999 0 0 0 1
3 11.77588034755792 0.7758803475579188 0 79.99999999999999 0 0 0 1
-6 12.656514140243507 0.6565141402435066 0 99. 0 0 0 2
-4 12.616725404469655 0.6167254044696545 1. 99.00000000000003 0 0 0 3
-4 12.537147932923812 0.5371479329238114 1.0000000000000002 99.00000000000003 0 0 0 3
-4 12.748138671636795 0.7481386716367959 0 99.00000000000001 0 0 0 3
-4 12.604678344620591 0.6046783446205914 0 98.99999999999996 0 0 0 3
-4 12.656514140240953 0.6565141402409529 1.0000000000000002 80.00000000000001 0 0 1.0000000000000004 3
-4 12.775880347559045 0.7758803475590446 0 80.00000000000001 0 0 1.0000000000000002 3
-2 12.437676093492755 0.43767609349275477 2.0000000000000004 99.00000000000003 0 0 0 2
-2 12.704061641392585 0.7040616413925839 0.9999999999999998 98.99999999999999 0 0 0 3
-2 12.648082528164291 0.6480825281642911 0.9999999999999998 98.99999999999996 0 0 0 3
-2 12.54756558263949 0.5475655826394885 1. 98.99999999999997 0 0 0 3
-2 12.527403129909473 0.5274031299094722 1.0000000000000002 99.00000000000003 0 0 0 3
-2 12.833776897278781 0.8337768972787815 0 99.00000000000003 0 0 0 3
-2 12.731889236625461 0.7318892366254611 0 98.99999999999997 0 0 0 3
-2 12.69299408628965 0.6929940862896493 0 99.00000000000007 0 0 0 3
-2 12.612623194306604 0.6126231943066031 0 99.0000000000001 0 0 0 3
-2 12.530653494029497 0.5306534940294965 0 98.99999999999999 0 0 0 3
-2 12.69630287601401 0.6963028760140106 1. 80. 0 0 1.0000000000000002 3
-2 12.656514140242646 0.6565141402426458 1.0000000000000002 80.00000000000003 0 1.0000000000000007 0 2
-2 12.636619772355042 0.6366197723550416 0.9999999999999998 79.99999999999997 0 0 1. 3
-2 12.775880347561142 0.7758803475611413 0 80.00000000000003 0 1.0000000000000007 0 2
-2 12.736091611786987 0.7360916117869878 0 80. 0 0 1.0000000000000002 3
-2 12.795774715447012 0.7957747154470108 0 63.000000000000036 0 0 2.0000000000000018 3
0 12.397887357719776 0.3978873577197767 2. 99.00000000000001 0 0 0 2
0 12.69630287601344 0.6963028760134411 1. 99. 0 0 0 2
0 12.688455567977936 0.6884555679779364 0.9999999999999998 98.99999999999997 0 0 0 2
0 12.60423733818485 0.6042373381848506 1.0000000000000002 99.00000000000004 0 0 0 2
0 12.544995240963438 0.5449952409634375 1.0000000000000002 99.00000000000001 0 0 0 2
0 12.489952895549528 0.48995289554952876 1.0000000000000004 99.00000000000006 0 0 0 2
0 12.872849057829677 0.8728490578296774 0 98.99999999999996 0 0 0 2
0 12.740969687228999 0.740969687228999 0 98.99999999999999 0 0 0 2
0 12.656514140241523 0.6565141402415233 0 99. 0 0 0 2
0 12.594456090308144 0.5944560903081435 0 98.99999999999994 0 0 0 2
