dx_den dx_com dx_comVx dx_hyp density com com_vortex hyperradius
0.1 0.05 0.075 0.125 4.020185 0.581665 0.219858 0.
0.3 0.15 0.225 0.375 4.006741 1.549166 0.619505 0.
0.5 0.25 0.375 0.625 3.999509 2.04246 0.903964 0.
0.7 0.35 0.525 0.875 3.934006 1.997825 1.037442 0.
0.9 0.45 0.675 1.125 3.806752 1.597729 1.021415 3.e-6
1.1 0.55 0.825 1.375 3.499395 1.080662 0.887776 0.000094
1.3 0.65 0.975 1.625 3.02435 0.625585 0.703153 0.001323
1.5 0.75 1.125 1.875 2.425344 0.312211 0.506703 0.010097
1.7 0.85 1.275 2.125 1.784058 0.136254 0.334985 0.04802
1.9 0.95 1.425 2.375 1.204972 0.052234 0.204153 0.156629
2.1 1.05 1.575 2.625 0.739269 0.017464 0.115672 0.357964
2.3 1.15 1.725 2.875 0.411307 0.005034 0.061039 0.604703
2.5 1.25 1.875 3.125 0.20901 0.001312 0.029273 0.772572
2.7 1.35 2.025 3.375 0.096375 0.000328 0.012969 0.766621
2.9 1.45 2.175 3.625 0.040713 0.000061 0.005448 0.600243
3.1 1.55 2.325 3.875 0.015711 8.e-6 0.002187 0.375644
3.3 1.65 2.475 4.125 0.005402 2.e-6 0.000753 0.190126
3.5 1.75 2.625 4.375 0.001803 0. 0.000262 0.07916
3.7 1.85 2.775 4.625 0.000579 0. 0.000077 0.026877
3.9 1.95 2.925 4.875 0.000144 0. 0.000024 0.007571
4.1 2.05 3.075 5.125 0.000027 0. 4.e-6 0.001928
4.3 2.15 3.225 5.375 6.e-6 0. 3.e-6 0.00036
4.5 2.25 3.375 5.625 1.e-6 0. 0. 0.000058
4.7 2.35 3.525 5.875 2.e-6 0. 0. 6.e-6
4.9 2.45 3.675 6.125 0. 0. 0. 0.
5.1 2.55 3.825 6.375 0. 0. 0. 0.
5.3 2.65 3.975 6.625 0. 0. 0. 0.
5.5 2.75 4.125 6.875 0. 0. 0. 0.
5.7 2.85 4.275 7.125 0. 0. 0. 0.
5.9 2.95 4.425 7.375 0. 0. 0. 0.
