dx_den dx_com dx_comVx dx_hyp density com com_vortex hyperradius
0.1 0.05 0.075 0.125 3.98046 0.584187 0.214377 0.
0.3 0.15 0.225 0.375 3.905116 1.550707 0.601635 0.
0.5 0.25 0.375 0.625 3.762967 2.042739 0.875802 0.
0.7 0.35 0.525 0.875 3.567797 1.998929 1.005482 0.
0.9 0.45 0.675 1.125 3.334022 1.600738 0.991001 0.
1.1 0.55 0.825 1.375 3.027084 1.07673 0.872277 3.e-6
1.3 0.65 0.975 1.625 2.667079 0.621552 0.700701 0.000085
1.5 0.75 1.125 1.875 2.254006 0.312982 0.519626 0.000963
1.7 0.85 1.275 2.125 1.78959 0.135165 0.356955 0.007961
1.9 0.95 1.425 2.375 1.336603 0.052074 0.229836 0.039402
2.1 1.05 1.575 2.625 0.931141 0.017246 0.13837 0.132591
2.3 1.15 1.725 2.875 0.604266 0.005287 0.079158 0.31841
2.5 1.25 1.875 3.125 0.358883 0.001319 0.042315 0.563252
2.7 1.35 2.025 3.375 0.195399 0.000278 0.021346 0.755678
2.9 1.45 2.175 3.625 0.097764 0.000055 0.010202 0.779528
3.1 1.55 2.325 3.875 0.044124 0.00001 0.004522 0.635431
3.3 1.65 2.475 4.125 0.01883 3.e-6 0.001862 0.413498
3.5 1.75 2.625 4.375 0.007178 0. 0.000734 0.216731
3.7 1.85 2.775 4.625 0.002493 0. 0.000325 0.092635
3.9 1.95 2.925 4.875 0.000817 0. 0.000094 0.031707
4.1 2.05 3.075 5.125 0.000192 0. 0.000033 0.009321
4.3 2.15 3.225 5.375 0.000048 0. 9.e-6 0.002237
4.5 2.25 3.375 5.625 0.00001 0. 3.e-6 0.000454
4.7 2.35 3.525 5.875 1.e-6 0. 1.e-6 0.000097
4.9 2.45 3.675 6.125 0. 0. 1.e-6 0.00001
5.1 2.55 3.825 6.375 0. 0. 0. 4.e-6
5.3 2.65 3.975 6.625 0. 0. 0. 0.
5.5 2.75 4.125 6.875 0. 0. 0. 0.
5.7 2.85 4.275 7.125 0. 0. 0. 0.
5.9 2.95 4.425 7.375 0. 0. 0. 0.
