dx_den dx_com dx_comVx dx_hyp density com com_vortex hyperradius
0.1 0.05 0.075 0.125 3.994097 0.583299 0.008018 0.
0.3 0.15 0.225 0.375 3.922353 1.55371 0.024389 0.
0.5 0.25 0.375 0.625 3.808393 2.036792 0.05397 0.
0.7 0.35 0.525 0.875 3.607337 2.000964 0.126251 0.
0.9 0.45 0.675 1.125 3.345854 1.597001 0.270399 0.
1.1 0.55 0.825 1.375 2.99941 1.077283 0.482542 2.e-6
1.3 0.65 0.975 1.625 2.63346 0.623899 0.713848 0.000069
1.5 0.75 1.125 1.875 2.209017 0.311505 0.89334 0.000999
1.7 0.85 1.275 2.125 1.780362 0.138109 0.961671 0.007789
1.9 0.95 1.425 2.375 1.349439 0.052417 0.909778 0.03891
2.1 1.05 1.575 2.625 0.949635 0.017968 0.765597 0.132897
2.3 1.15 1.725 2.875 0.611643 0.005239 0.574142 0.317789
2.5 1.25 1.875 3.125 0.364962 0.001442 0.389117 0.561049
2.7 1.35 2.025 3.375 0.196643 0.000298 0.239731 0.751561
2.9 1.45 2.175 3.625 0.097993 0.000066 0.133062 0.779186
3.1 1.55 2.325 3.875 0.043365 6.e-6 0.06786 0.637749
3.3 1.65 2.475 4.125 0.017512 3.e-6 0.031449 0.415573
3.5 1.75 2.625 4.375 0.006705 0. 0.013552 0.217784
3.7 1.85 2.775 4.625 0.002196 0. 0.005201 0.093075
3.9 1.95 2.925 4.875 0.000745 0. 0.001863 0.032878
4.1 2.05 3.075 5.125 0.000182 0. 0.000617 0.009765
4.3 2.15 3.225 5.375 0.000067 0. 0.000191 0.002356
4.5 2.25 3.375 5.625 0.000011 0. 0.000062 0.000453
4.7 2.35 3.525 5.875 6.e-6 0. 0.000016 0.0001
4.9 2.45 3.675 6.125 0. 0. 1.e-6 0.000015
5.1 2.55 3.825 6.375 0. 0. 0. 0.
5.3 2.65 3.975 6.625 0. 0. 0. 0.
5.5 2.75 4.125 6.875 0. 0. 0. 0.
5.7 2.85 4.275 7.125 0. 0. 0. 0.
5.9 2.95 4.425 7.375 0. 0. 0. 0.
