dx_den dx_com dx_comVx dx_hyp density com com_vortex hyperradius
0.1 0.05 0.075 0.125 4.00827 0.000329 0.220504 0.
0.3 0.15 0.225 0.375 3.951206 0.018356 0.620681 0.
0.5 0.25 0.375 0.625 3.856471 0.155597 0.905178 0.
0.7 0.35 0.525 0.875 3.680791 0.552987 1.035447 0.
0.9 0.45 0.675 1.125 3.38533 1.178185 1.019378 4.e-6
1.1 0.55 0.825 1.375 3.023996 1.752969 0.890654 0.000089
1.3 0.65 0.975 1.625 2.609353 1.973453 0.699901 0.00126
1.5 0.75 1.125 1.875 2.185947 1.740882 0.507189 0.010093
1.7 0.85 1.275 2.125 1.743257 1.258769 0.335581 0.048328
1.9 0.95 1.425 2.375 1.3222 0.748492 0.204474 0.156491
2.1 1.05 1.575 2.625 0.93488 0.375516 0.115838 0.357242
2.3 1.15 1.725 2.875 0.612731 0.159906 0.060773 0.603467
2.5 1.25 1.875 3.125 0.369294 0.059416 0.029201 0.773745
2.7 1.35 2.025 3.375 0.202618 0.018623 0.013083 0.766691
2.9 1.45 2.175 3.625 0.101865 0.005137 0.0055 0.599541
3.1 1.55 2.325 3.875 0.046912 0.001141 0.002102 0.374818
3.3 1.65 2.475 4.125 0.019776 0.000199 0.00078 0.190963
3.5 1.75 2.625 4.375 0.007462 0.00004 0.000263 0.079833
3.7 1.85 2.775 4.625 0.002588 4.e-6 0.000107 0.027235
3.9 1.95 2.925 4.875 0.000786 1.e-6 0.000029 0.007813
4.1 2.05 3.075 5.125 0.000249 0. 6.e-6 0.001923
4.3 2.15 3.225 5.375 0.000058 0. 1.e-6 0.000387
4.5 2.25 3.375 5.625 0.000012 0. 0. 0.000067
4.7 2.35 3.525 5.875 4.e-6 0. 0. 9.e-6
4.9 2.45 3.675 6.125 0. 0. 0. 2.e-6
5.1 2.55 3.825 6.375 0. 0. 0. 0.
5.3 2.65 3.975 6.625 0. 0. 0. 0.
5.5 2.75 4.125 6.875 0. 0. 0. 0.
5.7 2.85 4.275 7.125 0. 0. 0. 0.
5.9 2.95 4.425 7.375 0. 0. 0. 0.
